Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Drake,In My Feelings,1,2018-08-11,1,5
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,3,2018-08-11,3,2
Maroon 5 Featuring Cardi B,Girls Like You,3,2018-08-11,4,10
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,,2018-08-11,5,
Post Malone,Better Now,5,2018-08-11,6,14
Juice WRLD,Lucid Dreams,3,2018-08-11,7,12
Ella Mai,Boo'd Up,5,2018-08-11,8,18
Tyga Featuring Offset,Taste,9,2018-08-11,9,10
Drake,Nice For What,1,2018-08-11,10,17
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-08-11,11,23
Ariana Grande,No Tears Left To Cry,3,2018-08-11,12,15
Taylor Swift,Delicate,12,2018-08-11,13,21
Lil Baby & Drake,Yes Indeed,6,2018-08-11,14,12
Khalid & Normani,Love Lies,15,2018-08-11,15,24
Drake,God's Plan,1,2018-08-11,16,28
"Zedd, Maren Morris & Grey",The Middle,5,2018-08-11,17,27
Ed Sheeran,Perfect,1,2018-08-11,18,49
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-08-11,19,41
Marshmello & Anne,Friends,11,2018-08-11,20,25
XXXTENTACION,Sad!,1,2018-08-11,21,22
Kenny Chesney,Get Along,22,2018-08-11,22,17
5 Seconds Of Summer,Youngblood,23,2018-08-11,23,9
Bazzi,Mine,11,2018-08-11,24,28
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,25,2018-08-11,25,9
Selena Gomez,Back To You,22,2018-08-11,26,12
Ariana Grande,God Is A Woman,11,2018-08-11,27,3
Dan + Shay,Tequila,21,2018-08-11,28,21
Drake,Nonstop,2,2018-08-11,29,5
Calvin Harris & Dua Lipa,One Kiss,26,2018-08-11,30,17
Shawn Mendes,In My Blood,11,2018-08-11,31,20
Brett Young,Mercy,32,2018-08-11,32,13
Lauv,I Like Me Better,29,2018-08-11,33,25
Florida Georgia Line,Simple,34,2018-08-11,34,9
The Carters,Apeshit,13,2018-08-11,35,7
Camila Cabello,Never Be The Same,6,2018-08-11,36,33
Imagine Dragons,Whatever It Takes,12,2018-08-11,37,27
XXXTENTACION,Moonlight,13,2018-08-11,38,16
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,39,2018-08-11,39,7
BlocBoy JB Featuring Drake,Look Alive,5,2018-08-11,40,25
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-08-11,41,15
Imagine Dragons,Natural,37,2018-08-11,42,2
Cardi B,Be Careful,11,2018-08-11,43,18
"Benny Blanco, Halsey & Khalid",Eastside,44,2018-08-11,44,3
Drake,I'm Upset,7,2018-08-11,45,10
Thomas Rhett,Life Changes,46,2018-08-11,46,6
Demi Lovato,Sober,47,2018-08-11,47,3
Foster The People,Sit Next To Me,42,2018-08-11,48,20
Luke Combs,One Number Away,34,2018-08-11,49,20
Luke Bryan,"Sunrise, Sunburn, Sunset",50,2018-08-11,50,5
Keith Urban Featuring Julia Michaels,Coming Home,50,2018-08-11,51,6
Childish Gambino,This Is America,1,2018-08-11,52,13
Bebe Rexha,I'm A Mess,53,2018-08-11,53,3
Queen Naija,Medicine,45,2018-08-11,54,9
Chris Lane Featuring Tori Kelly,Take Back Home Girl,55,2018-08-11,55,9
XXXTENTACION,Changes,18,2018-08-11,56,16
Juice WRLD,All Girls Are The Same,41,2018-08-11,57,12
Clean Bandit Featuring Demi Lovato,Solo,58,2018-08-11,58,5
Ciara,Level Up,59,2018-08-11,59,2
Old Dominion,Hotel Key,60,2018-08-11,60,5
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,60,2018-08-11,61,4
Jake Owen,I Was Jack,43,2018-08-11,62,10
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-08-11,63,7
Drake,Mob Ties,13,2018-08-11,64,5
Backstreet Boys,Don't Go Breaking My Heart,63,2018-08-11,65,6
Drake Featuring Michael Jackson,Don't Matter To Me,9,2018-08-11,66,5
Morgan Evans,Kiss Somebody,67,2018-08-11,67,5
Weezer,Africa,68,2018-08-11,68,3
lovelytheband,Broken,69,2018-08-11,69,3
Becky G + Natti Natasha,Sin Pijama,70,2018-08-11,70,8
Alessia Cara,Growing Pains,65,2018-08-11,71,5
Dylan Scott,Hooked,72,2018-08-11,72,3
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-08-11,73,19
Kygo Featuring Miguel,Remind Me To Forget,74,2018-08-11,74,3
Juice WRLD Featuring Lil Uzi Vert,Wasted,67,2018-08-11,75,3
TK Kravitz Featuring Jacqueez,Ocean,76,2018-08-11,76,3
G,1942,77,2018-08-11,77,3
Lauren Daigle,You Say,53,2018-08-11,78,3
Childish Gambino,Summertime Magic,44,2018-08-11,79,3
Logic Featuring Ryan Tedder,One Day,,2018-08-11,80,
Carrie Underwood,Cry Pretty,48,2018-08-11,81,8
Daniel Caesar Featuring H.E.R.,Best Part,81,2018-08-11,82,2
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-08-11,83,20
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-08-11,84,8
Cole Swindell,Break Up In The End,85,2018-08-11,85,4
Dennis Lloyd,Nevermind,86,2018-08-11,86,2
The Chainsmokers Featuring Emily Warren,Side Effects,,2018-08-11,87,
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-08-11,88,14
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-08-11,89,14
NF,Lie,90,2018-08-11,90,2
Migos,Narcos,36,2018-08-11,91,12
Yella Beezy,That's On Me,,2018-08-11,92,
Eric Church,Desperate Man,71,2018-08-11,93,3
Kane Brown,Lose It,84,2018-08-11,94,3
The Weeknd,Call Out My Name,4,2018-08-11,95,18
Kanye West,All Mine,11,2018-08-11,96,9
Martin Garrix Featuring Khalid,Ocean,78,2018-08-11,97,5
Queen Naija,Karma,63,2018-08-11,98,2
YG Featuring A$AP Rocky,Handgun,,2018-08-11,99,
Mitchell Tenpenny,Drunk Me,,2018-08-11,100,
Drake,In My Feelings,1,2018-08-04,1,4
Maroon 5 Featuring Cardi B,Girls Like You,3,2018-08-04,3,9
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,,2018-08-04,4,
Post Malone,Better Now,5,2018-08-04,5,13
Drake,Nice For What,1,2018-08-04,6,16
Ella Mai,Boo'd Up,5,2018-08-04,7,17
Juice WRLD,Lucid Dreams,3,2018-08-04,8,11
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-08-04,9,22
Tyga Featuring Offset,Taste,10,2018-08-04,10,9
Ariana Grande,No Tears Left To Cry,3,2018-08-04,11,14
Taylor Swift,Delicate,12,2018-08-04,12,20
Drake,God's Plan,1,2018-08-04,13,27
Lil Baby & Drake,Yes Indeed,6,2018-08-04,14,11
"Zedd, Maren Morris & Grey",The Middle,5,2018-08-04,15,26
Marshmello & Anne,Friends,11,2018-08-04,16,24
Ed Sheeran,Perfect,1,2018-08-04,17,48
Khalid & Normani,Love Lies,18,2018-08-04,18,23
XXXTENTACION,Sad!,1,2018-08-04,19,21
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-08-04,20,40
Ariana Grande,God Is A Woman,11,2018-08-04,21,2
Bazzi,Mine,11,2018-08-04,22,27
Shawn Mendes,In My Blood,11,2018-08-04,23,19
Dan + Shay,Tequila,21,2018-08-04,24,20
5 Seconds Of Summer,Youngblood,25,2018-08-04,25,8
Selena Gomez,Back To You,22,2018-08-04,26,11
Calvin Harris & Dua Lipa,One Kiss,26,2018-08-04,27,16
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,28,2018-08-04,28,8
Drake,Nonstop,2,2018-08-04,29,4
The Carters,Apeshit,13,2018-08-04,30,6
Lauv,I Like Me Better,29,2018-08-04,31,24
Camila Cabello,Never Be The Same,6,2018-08-04,32,32
Brett Young,Mercy,33,2018-08-04,33,12
Imagine Dragons,Whatever It Takes,12,2018-08-04,34,26
Kenny Chesney,Get Along,31,2018-08-04,35,16
Florida Georgia Line,Simple,36,2018-08-04,36,8
Imagine Dragons,Natural,,2018-08-04,37,
Drake,I'm Upset,7,2018-08-04,38,9
XXXTENTACION,Moonlight,13,2018-08-04,39,15
BlocBoy JB Featuring Drake,Look Alive,5,2018-08-04,40,24
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-08-04,41,14
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,42,2018-08-04,42,6
Jake Owen,I Was Jack,43,2018-08-04,43,9
Foster The People,Sit Next To Me,42,2018-08-04,44,19
Childish Gambino,This Is America,1,2018-08-04,45,12
Cardi B,Be Careful,11,2018-08-04,46,17
Nicky Jam x J Balvin,X,41,2018-08-04,47,21
Luke Combs,One Number Away,34,2018-08-04,48,19
Thomas Rhett,Life Changes,49,2018-08-04,49,5
Keith Urban Featuring Julia Michaels,Coming Home,50,2018-08-04,50,5
XXXTENTACION,Changes,18,2018-08-04,51,15
"Benny Blanco, Halsey & Khalid",Eastside,52,2018-08-04,52,2
Drake,Mob Ties,13,2018-08-04,53,4
Drake Featuring Michael Jackson,Don't Matter To Me,9,2018-08-04,54,4
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-08-04,55,6
Demi Lovato,Sober,56,2018-08-04,56,2
Chris Lane Featuring Tori Kelly,Take Back Home Girl,57,2018-08-04,57,8
Juice WRLD,All Girls Are The Same,41,2018-08-04,58,11
Luke Bryan,"Sunrise, Sunburn, Sunset",59,2018-08-04,59,4
Chance The Rapper,I Might Need Security,,2018-08-04,60,
Clean Bandit Featuring Demi Lovato,Solo,61,2018-08-04,61,4
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,60,2018-08-04,62,3
Old Dominion,Hotel Key,63,2018-08-04,63,4
Bebe Rexha,I'm A Mess,64,2018-08-04,64,2
Queen Naija,Medicine,45,2018-08-04,65,8
Alessia Cara,Growing Pains,65,2018-08-04,66,4
Juice WRLD Featuring Lil Uzi Vert,Wasted,67,2018-08-04,67,2
Backstreet Boys,Don't Go Breaking My Heart,63,2018-08-04,68,5
Childish Gambino,Summertime Magic,44,2018-08-04,69,2
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-08-04,70,18
Morgan Evans,Kiss Somebody,71,2018-08-04,71,4
Becky G + Natti Natasha,Sin Pijama,72,2018-08-04,72,7
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-08-04,73,19
Lauren Daigle,You Say,53,2018-08-04,74,2
lovelytheband,Broken,75,2018-08-04,75,2
Dylan Scott,Hooked,76,2018-08-04,76,2
Ciara,Level Up,,2018-08-04,77,
TK Kravitz Featuring Jacqueez,Ocean,78,2018-08-04,78,2
Kygo Featuring Miguel,Remind Me To Forget,79,2018-08-04,79,2
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-08-04,80,13
Daniel Caesar Featuring H.E.R.,Best Part,,2018-08-04,81,
G,1942,82,2018-08-04,82,2
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-08-04,83,13
Carrie Underwood,Cry Pretty,48,2018-08-04,84,7
Martin Garrix Featuring Khalid,Ocean,78,2018-08-04,85,4
Weezer,Africa,86,2018-08-04,86,2
Cole Swindell,Break Up In The End,87,2018-08-04,87,3
twenty one pilots,Jumpsuit,50,2018-08-04,88,3
The Weeknd,Call Out My Name,4,2018-08-04,89,17
Dennis Lloyd,Nevermind,,2018-08-04,90,
Kanye West,All Mine,11,2018-08-04,91,8
Migos,Narcos,36,2018-08-04,92,11
